x_pos,y_pos,p_flag,volts,weights
-479.39,-834.26,0,2.37606,10
-384.58,998.58,1,3.88169,6
539.44,-19.1,1,4.64851,9
314.24,-734.6,1,3.73192,5
285.97,138.21,0,2.08502,9
-997.03,358.73,1,4.01721,7
-335.36,-275.7,1,4.67321,9
-567.13,-720.91,0,2.5138,10
430.27,494.33,1,3.80519,6
-632.03,-632.13,0,2.55587,10
783.47,485.51,0,2.34766,10
224.41,482.85,0,2.845,10
429.23,-847.51,0,2.14248,9
400.44,475.12,0,2.2982,10
-295.6,-347.89,1,3.50762,5
-241.07,-89.3,1,4.77783,10
-428.92,981.73,1,4.77783,10
-652.97,-215.18,1,3.97742,6
-407.56,123.37,0,2.46422,10
-814.92,429.94,1,4.07438,7
-277.25,-153.08,0,2.97603,10
-565.63,-670,0,1.89429,8
-563.35,356.46,0,2.54995,10
166.66,124.41,1,4.77783,10
516.49,-976.82,1,4.65093,9
357.75,416.68,0,2.85666,10
4.81,-199.86,0,2.39253,10
-109.05,-740.63,1,4.59564,9
279.53,-808.46,0,2.07648,9
344.67,136.1,1,3.28664,4
494.22,-533.15,0,2.85847,10
825.59,-436.45,0,1.80764,8
929.09,-940.75,0,2.27787,10
-408.48,-932.33,1,4.77783,10
-913.46,-748.09,1,3.57602,5
-770.18,-3.54,1,4.77783,10
690.66,473.6,0,1.85279,8
-416.91,-492.1,1,4.56244,9
177.33,340.22,1,4.77783,10
862.09,-252.79,1,4.77783,10
207.54,994.72,0,2.38381,10
304.68,730.44,1,4.77783,10
153.29,911.75,0,2.0829,9
135.11,995.79,0,2.22004,9
621.69,382.3,1,4.77783,10
-38.69,743.11,1,4.1788,7
-831.95,615.42,0,2.73575,10
-298.26,399.55,0,1.81217,8
276.78,-855.26,1,4.27469,8
271.75,910.88,0,2.53615,10
-986.1,-522.68,0,1.81118,8
88.12,259.49,1,3.49827,4
455.47,729.55,1,4.77783,10
763,-496.5,0,2.63843,10
-443.1,518.57,0,2.15554,9
-111.62,-29.26,0,2.94392,10
-285.34,703.73,0,1.92243,8
-601.45,845.43,0,2.88784,10
-692.33,414.65,0,2.64041,10
-932.85,607.64,0,2.94286,10
506.53,721.51,0,2.1282,9
-662.62,154.42,0,2.58428,10
-580.35,-40.01,1,3.68595,5
869.38,37.41,1,3.9413,6
627.02,-726.69,1,3.25707,4
-223.25,405.01,0,2.7144,10
584.51,-436.73,1,4.4018,8
949.99,-356.05,1,4.77783,10
754.7,207.61,0,1.81639,8
